user_id,email,signup_date
u-4-0000,dave0@mail.co,2026-01-01
u-4-0001,frank1@example.com,2026-01-02
u-4-0002,carol2@test.org,2026-01-03
u-4-0003,bob3@mail.co,2026-01-04
u-4-0004,alice4@mail.co,2026-01-05
u-4-0005,alice5@mail.co,2026-01-06
u-4-0006,@nodomain.com,2026-01-07
u-4-0007,erin7@example.com,2026-01-08
u-4-0008,bob8@corp.net,2026-01-09
u-4-0009,bob9@corp.net,2026-01-10
u-4-0010,alice10@test.org,2026-01-11
u-4-0011,alice11@mail.co,2026-01-12
u-4-0012,alice12@corp.net,2026-01-13
u-4-0013,erin13@corp.net,2026-01-14
u-4-0014,alice14@mail.co,2026-01-15
u-4-0015,heidi15@corp.net,2026-01-16
u-4-0016,heidi16@corp.net,2026-01-17
u-4-0017,heidi17@mail.co,2026-01-18
u-4-0018,dave18@corp.net,2026-01-19
u-4-0019,carol19@mail.co,2026-01-20
u-4-0020,heidi20@mail.co,2026-01-21
u-4-0021,carol21@example.com,2026-01-22
u-4-0022,heidi22@mail.co,2026-01-23
u-4-0023,frank23@example.com,2026-01-24
u-4-0024,frank24@mail.co,2026-01-25
u-4-0025,erin25@corp.net,2026-01-26
u-4-0026,grace26@corp.net,2026-01-27
u-4-0027,grace27@mail.co,2026-01-28
u-4-0028,heidi28@corp.net,2026-01-01
u-4-0029,bob29@corp.net,2026-01-02
u-4-0030,heidi30@corp.net,2026-01-03
u-4-0031,dave31@test.org,2026-01-04
u-4-0032,dave32@mail.co,2026-01-05
u-4-0033,grace33@test.org,2026-01-06
,alice34@example.com,2026-01-07
u-4-0035,erin35@example.com,2026-01-08
u-4-0036,bob36@example.com,2026-01-09
u-4-0037,grace37@corp.net,2026-01-10
u-4-0038,frank38@corp.net,2026-01-11
u-4-0039,not-an-email,2026-01-12
u-4-0040,frank40@mail.co,2026-01-13
u-4-0041,erin41@example.com,2026-01-14
u-4-0042,user@@double.com,2026-01-15
u-4-0043,alice43@example.com,2026-01-16
u-4-0044,,2026-01-17
u-4-0045,alice45@example.com,2026-01-18
u-4-0046,user@@double.com,2026-01-19
u-4-0047,bob47@test.org,2026-01-20
u-4-0048,frank48@corp.net,2026-01-21
u-4-0049,dave49@test.org,2026-01-22
