user_id,email,signup_date
u-3-0000,heidi0@corp.net,2026-01-01
u-3-0001,alice1@test.org,2026-01-02
u-3-0002,bob2@corp.net,2026-01-03
u-3-0003,heidi3@example.com,2026-01-04
u-3-0004,erin4@test.org,2026-01-05
u-3-0005,alice5@mail.co,2026-01-06
u-3-0006,alice6@test.org,2026-01-07
u-3-0007,dave7@example.com,2026-01-08
u-3-0008,carol8@corp.net,2026-01-09
u-3-0009,frank9@example.com,2026-01-10
u-3-0010,dave10@corp.net,2026-01-11
u-3-0011,alice11@test.org,2026-01-12
u-3-0012,grace12@mail.co,2026-01-13
u-3-0013,erin13@corp.net,2026-01-14
u-3-0014,,2026-01-15
u-3-0015,heidi15@mail.co,2026-01-16
u-3-0016,carol16@mail.co,2026-01-17
u-3-0017,erin17@mail.co,2026-01-18
u-3-0018,alice18@corp.net,2026-01-19
u-3-0019,dave19@test.org,2026-01-20
u-3-0020,heidi20@test.org,2026-01-21
u-3-0021,carol21@corp.net,2026-01-22
u-3-0022,grace22@example.com,2026-01-23
u-3-0023,missing-at.com,2026-01-24
u-3-0024,erin24@mail.co,2026-01-25
u-3-0025,bob25@corp.net,2026-01-26
u-3-0026,grace26@corp.net,2026-01-27
u-3-0027,frank27@corp.net,2026-01-28
u-3-0028,not-an-email,2026-01-01
u-3-0029,missing-at.com,2026-01-02
u-3-0030,grace30@corp.net,2026-01-03
u-3-0031,heidi31@example.com,2026-01-04
u-3-0032,dave32@corp.net,2026-01-05
u-3-0033,frank33@corp.net,2026-01-06
u-3-0034,grace34@corp.net,2026-01-07
u-3-0035,user@@double.com,2026-01-08
u-3-0036,frank36@test.org,2026-01-09
u-3-0037,alice37@example.com,2026-01-10
u-3-0038,frank38@example.com,2026-01-11
u-3-0039,heidi39@example.com,2026-01-12
u-3-0040,bob40@mail.co,2026-01-13
u-3-0041,carol41@corp.net,2026-01-14
u-3-0042,bob42@test.org,2026-01-15
u-3-0043,bob43@corp.net,2026-01-16
u-3-0044,frank44@test.org,2026-01-17
u-3-0045,erin45@example.com,2026-01-18
u-3-0046,user@@double.com,2026-01-19
u-3-0047,frank47@mail.co,2026-01-20
u-3-0048,grace48@mail.co,2026-01-21
u-3-0049,grace49@test.org,2026-01-22
